FID,latitude,longitude, INT_REFNO, PREFIX, UDI, Neighborhood_Name, BDNUM, TEXT_NBR, 2014 White %, 2014 Black%, 2014 MedianIncome, Bachelor's Degree  %,,,,,
74,39.78373,-100.445882,-2144135800, REFNO,23142, Kenwood,42,42,88,0,118750,75.8,,,,MapQuest Open,country
75,39.78373,-100.445882,-2144135700, REFNO,23143, Lowry Hill,43,43,86,0,75645,83.7,,,,MapQuest Open,country
76,39.78373,-100.445882,-2144135600, REFNO,23144, East Isles,44,44,90,0,82145,79,,,,MapQuest Open,country
77,39.78373,-100.445882,-2144136700, REFNO,23133, Elliot Park,33,33, NA, NA, NA,,,,,MapQuest Open,country
78,39.78373,-100.445882,-2144136600, REFNO,23134, Nicollet Island - East Bank,34,34,78,3,83520,73.4,,,,MapQuest Open,country
79,39.78373,-100.445882,-2144136500, REFNO,23135, Marcy Holmes,35,35,73,6,27104,58.7,,,,MapQuest Open,country
80,39.78373,-100.445882,-2144139400, REFNO,23106, Folwell,6,6,28,40,40442,18.1,,,,MapQuest Open,country
81,39.78373,-100.445882,-2144139300, REFNO,23107, McKinley,7,7,22,42,42556,12.2,,,,MapQuest Open,country
82,39.78373,-100.445882,-2144139100, REFNO,23109, Camden Industrial,9,9, NA, NA, NA,,,,,MapQuest Open,country
83,39.78373,-100.445882,-2144138900, REFNO,23111, Columbia Park,11,11,75,7,66545,41.8,,,,MapQuest Open,country
84,39.78373,-100.445882,-2144138800, REFNO,23112, Waite Park,12,12,86,0,73477,46.3,,,,MapQuest Open,country
85,39.78373,-100.445882,-2144138700, REFNO,23113, Marshall Terrace,13,13,69,0,43913,40.9,,,,MapQuest Open,country
86,39.78373,-100.445882,-2144134900, REFNO,23151, Whittier,51,51,55,19,35855,39.9,,,,MapQuest Open,country
87,39.78373,-100.445882,-2144134700, REFNO,23153, Lyndale,53,53,52,23,38441,39,,,,MapQuest Open,country
